# Adapted from https://github.com/nextstrain/ncov-ingest/blob/be874967dbefba13290610a9fdbb3d0603bfd044/source-data/gisaid_geoLocationRules.tsv

*/Netherlands/*/*	Europe/Netherlands/*/*
*/Netherlans/*/*	Europe/Netherlans/*/*
*/The Netherlands/*/*	Europe/The Netherlands/*/*
*/France/*/*	Europe/France/*/*
*/Germany/*/*	Europe/Germany/*/*
*/Belgium/*/*	Europe/Belgium/*/*
*/Switzerland/*/*	Europe/Switzerland/*/*
*/Russia/*/*	Europe/Russia/*/*
*/Hungary/*/*	Europe/Hungary/*/*
*/United Kingdom/*/*	Europe/United Kingdom/*/*
*/Czech Republic/*/*	Europe/Czech Republic/*/*
*/Crimea/*/*	Europe/Crimea/*/*
*/Spain/*/*	Europe/Spain/*/*
*/Sweden/*/*	Europe/Sweden/*/*
*/Poland/*/*	Europe/Poland/*/*
*/Italy/*/*	Europe/Italy/*/*
*/Finland/*/*	Europe/Finland/*/*
*/Serbia/*/*	Europe/Serbia/*/*
*/Austria/*/*	Europe/Austria/*/*
*/Romania/*/*	Europe/Romania/*/*
*/Bosnia and Herzegovina/*/*	Europe/Bosnia and Herzegovina/*/*
*/Greece/*/*	Europe/Greece/*/*
*/North Macedonia/*/*	Europe/North Macedonia/*/*
*/Moldova/*/*	Europe/Moldova/*/*
*/Norway/*/*	Europe/Norway/*/*
*/Lithuania/*/*	Europe/Lithuania/*/*
*/Ukraine/*/*	Europe/Ukraine/*/*
*/Slovakia/*/*	Europe/Slovakia/*/*
*/Denmark/*/*	Europe/Denmark/*/*
*/Ireland/*/*	Europe/Ireland/*/*
*/Albania/*/*	Europe/Albania/*/*
*/Portugal/*/*	Europe/Portugal/*/*
*/Macedonia/*/*	Europe/Macedonia/*/*
*/Belarus/*/*	Europe/Belarus/*/*
*/Blegium/*/*	Europe/Blegium/*/*
*/Country/*/*	Europe/Country/*/*
*/Croatia/*/*	Europe/Croatia/*/*
*/Estonia/*/*	Europe/Estonia/*/*
*/Bulgaria/*/*	Europe/Bulgaria/*/*
*/Liechtenstein/*/*	Europe/Liechtenstein/*/*
*/Romaina/*/*	Europe/Romaina/*/*
*/England/*/*	Europe/England/*/*
*/Belgique/*/*	Europe/Belgique/*/*
*/Republic of Moldova/*/*	Europe/Republic of Moldova/*/*
*/Slovaia/*/*	Europe/Slovaia/*/*
*/Swizterland/*/*	Europe/Swizterland/*/*
*/Turkey/*/*	Europe/Turkey/*/*
*/Bosni and Herzegovina/*/*	Europe/Bosni and Herzegovina/*/*
*/Brazil/*/*	Europe/Brazil/*/*
*/Faroe Islands/*/*	Europe/Faroe Islands/*/*
*/Slovenia/*/*	Europe/Slovenia/*/*
*/Kosovo/*/*	Europe/Kosovo/*/*
*/Coatia/*/*	Europe/Coatia/*/*
*/Israel/*/*	Europe/Israel/*/*
*/Guadeloupe/*/*	Europe/Guadeloupe/*/*
*/Serbiapozarevac/*/*	Europe/Serbiapozarevac/*/*
*/Andorre/*/*	Europe/Andorre/*/*
*/Montenegro/*/*	Europe/Montenegro/*/*
*/Italia/*/*	Europe/Italia/*/*
*/Algeria/*/*	Europe/Algeria/*/*
*/Armenia/*/*	Europe/Armenia/*/*
*/United Kindgom/*/*	Europe/United Kindgom/*/*
*/Slovak Republic/*/*	Europe/Slovak Republic/*/*
*/Czechrepublic/*/*	Europe/Czech Republic/*/*
*/Canary Islands/*/*	Europe/Canary Islands/*/*
*/Luxembourg/*/*	Europe/Luxembourg/*/*
*/Iceland/*/*	Europe/Iceland/*/*
*/Latvia/*/*	Europe/Latvia/*/*
*/Greenland/*/*	Europe/Greenland/*/*

*/Taiwan/*/*	Asia/Taiwan/*/*
*/China/*/*	Asia/China/*/*
*/South Korea/*/*	Asia/South Korea/*/*
*/Kuwait/*/*	Asia/Kuwait/*/*
*/Vietnam/*/*	Asia/Vietnam/*/*
*/Pakistan/*/*	Asia/Pakistan/*/*
*/Israel/*/*	Asia/Israel/*/*
*/India/*/*	Asia/India/*/*
*/Bangladesh/*/*	Asia/Bangladesh/*/*
*/Thailand/*/*	Asia/Thailand/*/*
*/Oman/*/*	Asia/Oman/*/*
*/Bahrain/*/*	Asia/Bahrain/*/*
*/Philippines/*/*	Asia/Philippines/*/*
*/Indonesia/*/*	Asia/Indonesia/*/*
*/Sri Lanka/*/*	Asia/Sri Lanka/*/*
*/Palestine/*/*	Asia/Palestine/*/*
*/Iran/*/*	Asia/Iran/*/*
*/Viet Nam/*/*	Asia/Vietnam/*/*
*/Saudi Arabia/*/*	Asia/Saudi Arabia/*/*
*/Malaysia/*/*	Asia/Malaysia/*/*
*/Bangaldesh/*/*	Asia/Bangaldesh/*/*
*/Georgia/*/*	Asia/Georgia/*/*
*/Bangladeah/*/*	Asia/Bangladeah/*/*
*/Japan/*/*	Asia/Japan/*/*
*/Lebanon/*/*	Asia/Lebanon/*/*
*/United Arab Emirates/*/*	Asia/United Arab Emirates/*/*
*/Kazakhstan/*/*	Asia/Kazakhstan/*/*
*/Kazkahstan/*/*	Asia/Kazkahstan/*/*
*/Uzbekistan/*/*	Asia/Uzbekistan/*/*
*/Nepal/*/*	Asia/Nepal/*/*
*/West Bank/*/*	Asia/West Bank/*/*
*/Myanmar/*/*	Asia/Myanmar/*/*
*/Iraq/*/*	Asia/Iraq/*/*
*/Israel;/*/*	Asia/Israel;/*/*
*/Qatar/*/*	Asia/Qatar/*/*
*/Maldives/*/*	Asia/Maldives/*/*
*/Srilanka/*/*	Asia/Srilanka/*/*
*/Sultanate of Oman/*/*	Asia/Sultanate of Oman/*/*
*/Guam/*/*	Asia/Guam/*/*
*/Cyprus/*/*	Asia/Cyprus/*/*
*/Syria/*/*	Asia/Syria/*/*
*/Afghanistan/*/*	Asia/Afghanistan/*/*

*/Mongolia/*/*	Asia/Mongolia/*/*
*/Hong Kong/*/*	Asia/Hong Kong/*/*
*/Cambodia/*/*	Asia/Cambodia/*/*
*/Laos/*/*	Asia/Laos/*/*
*/Kyrgyzstan/*/*	Asia/Kyrgyzstan/*/*

*/Mexico/*/*	North America/Mexico/*/*
*/USA/*/*	North America/USA/*/*
